ANKUS|(Noun) an elephant goad with a sharp spike and a hook
ANLAS|
ANNAL|
ANNAS|(Noun) a former copper coin of Pakistan and India
ANNAT|
ANNEX|(Verb) take (territory) as if by conquest\n(Verb) attach to
ANNOY|(Verb) cause annoyance in; disturb, especially by minor irritations
ANNUL|(Verb) stay clear from; keep away from; keep out of the way of someone or something\n(Verb) refrain from doing something
ANOAS|(Noun) small buffalo of the Celebes having small straight horns
ANODE|(Noun) a positively charged electrode by which electrons leave an electrical device\n(Noun) the negatively charged terminal of a voltaic cell or storage battery that supplies current
ANOLE|
ANOMY|(Noun) personal state of isolation and anxiety resulting from a lack of social control and regulation\n(Noun) lack of moral standards in a society
ANSAE|
ANTAE|
ANTAR|
ANTAS|
ANTED|(Verb) place one's stake
ANTES|(Verb) place one's stake
ANTIC|(Adjective) ludicrously odd
ANTIS|(Adjective) not in favor of (an action or proposal etc.)
ANTRA|(Noun) a natural cavity or hollow in a bone
ANTRE|
ANTSY|(Adjective) nervous and unable to relax
ANURA|(Noun) frogs, toads, tree toads
ANVIL|(Noun) a heavy block of iron or steel on which hot metals are shaped by hammering
ANYON|
AORTA|(Noun) the large trunk artery that carries blood from the left ventricle of the heart to branch arteries
APACE|(Adverb) with rapid movements
APAGE|
APAID|
APART|(Adverb) separated or at a distance in place or position or time\n(Adverb) not taken into account or excluded from consideration\n(Adverb) away from another or others\n(Adverb) one from the other\n(Adverb) into parts or pieces
APAYD|
APAYS|
APEAK|
APEEK|
APERS|(Noun) someone who copies the words or behavior of another
APERT|
APERY|(Noun) the act of mimicking; imitative behavior
APGAR|
APHID|(Noun) any of various small plant-sucking insects
APHIS|(Noun) type genus of the Aphididae: injurious to fruit trees and vegetables
APIAN|(Adjective) relating to or having the characteristics of bees
APING|(Verb) represent in or produce a caricature of
APIOL|
APISH|(Adjective) being or given to servile imitation
APISM|
APNEA|(Noun) transient cessation of respiration
APODE|
APODS|
APOOP|
APORT|
APPAL|(Verb) strike with disgust or revulsion\n(Verb) collide violently\n(Verb) collect or gather into shocks\n(Verb) subject to electrical shocks\n(Noun) a pile of sheaves of grain set on end in a field to dry; stalks of Indian corn set up in a field\n(Noun) a bushy thick mass (especially hair)\n(Verb) surprise greatly; knock someone's socks off\n(Verb) strike with horror or terror
APPAY|
APPEL|
APPLE|(Noun) fruit with red or yellow or green skin and sweet to tart crisp whitish flesh\n(Noun) native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits
APPLY|(Verb) be pertinent or relevant or applicable\n(Verb) ask (for something)\n(Verb) refer (a word or name) to a person or thing\n(Verb) apply oneself to
APPRO|(Noun) an informal British abbreviation of approval
APPUI|
APPUY|
APRES|
APRON|(Noun) a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing\n(Noun) (golf) the part of the fairway leading onto the green\n(Noun) a paved surface where aircraft stand while not being used
APSES|(Noun) a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar
APSIS|(Noun) a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar
APSOS|
APTED|
APTER|(Adjective) being of striking appropriateness and pertinence
APTLY|(Adverb) with competence; in a competent capable manner
AQUAE|(Noun) a blue to grey green mineral consisting of copper aluminum phosphate
AQUAS|(Noun) a blue to grey green mineral consisting of copper aluminum phosphate
ARABA|
ARAKS|(Noun) any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses
ARAME|
ARARS|
ARBAS|
ARBOR|(Noun) tree (as opposed to shrub)\n(Noun) a framework that supports climbing plants
ARCED|(Adjective) forming or resembling an arch
ARCHI|
ARCOS|
ARCUS|(Noun) a whitish deposit in the shape of an arc that is sometimes seen in the cornea
ARDEB|(Noun) a unit of dry measure used in Egypt
ARDOR|(Noun) a feeling of strong eagerness (usually in favor of a person or cause)\n(Noun) intense feeling of love\n(Noun) feelings of great warmth and intensity
ARDRI|
AREAD|
AREAE|
AREAL|(Adjective) of or relating to or involving an area
AREAR|
AREAS|(Noun) a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)\n(Noun) a subject of study\n(Noun) a part of an animal that has a special function or is supplied by a given artery or nerve\n(Noun) a part of a structure having some specific characteristic or function\n(Noun) the extent of a 2-dimensional surface enclosed within a boundary
ARECA|(Noun) any of several tall tropical palms native to southeastern Asia having egg-shaped nuts
AREDD|
AREDE|
AREFY|
AREIC|
ARENA|(Noun) the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand\n(Noun) a playing field where sports events take place
ARENE|
AREPA|
ARERE|(Noun) music composed for dancing the samba\n(Noun) a lively ballroom dance from Brazil\n(Noun) a form of canasta using three decks of cards and six jokers\n(Verb) dance the samba
ARETE|(Noun) a sharp narrow ridge found in rugged mountains
ARETS|
ARETT|
ARGAL|(Noun) wild sheep of semidesert regions in central Asia
ARGAN|
